|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 6135|         |16 34 19.30|-70 59 17.2| 5.50|1.22    |6135|        |1.24    |
|HR 2602|Iot Vol  |06 51 27.00|-70 57 47.9| 5.40|-0.11   |2602|        |-0.38   |
|HR 1541|Mu  Men  |04 43 03.91|-70 55 52.0| 5.54|-0.12   |1541|        |-0.46   |
|HR 4329|         |11 06 49.90|-70 52 41.2| 5.57|-0.05   |4329|        |-0.63   |
|HR 4211|         |10 44 19.39|-70 51 36.0| 6.26|0.20    |4211|        |0.17    |
|HR 4212|         |10 44 32.09|-70 51 18.0| 6.46|0.23    |4212|        |0.14    |
|HR 5125|         |13 40 00.60|-70 47 17.9| 6.59|1.30    |5125|        |1.09    |
|HR 6774|         |18 14 24.10|-70 45 05.0| 6.73|-0.03   |6774|        |-0.36   |
|HR 6357|         |17 12 19.80|-70 43 16.0| 6.22|1.06    |6357|        |1.04    |
|HR 4262|         |10 53 42.00|-70 43 13.1| 5.99|-0.02   |4262|0.004   |-0.46   |
|HR 5049|         |13 25 50.11|-70 37 39.0| 5.67|-0.03   |5049|        |-0.18   |
|HR 3642|         |09 05 38.30|-70 32 20.0| 4.71|-0.15   |3642|        |-0.81   |
|HR 2736|Gam2Vol  |07 08 44.90|-70 29 56.0| 3.78|1.04    |2736|0.016   |0.88    |
|HR 2735|Gam1Vol  |07 08 42.19|-70 29 49.9| 5.69|0.40    |2735|0.016   |0.04    |
|HR 8994|         |23 44 25.39|-70 29 25.1| 6.07|0.91    |8994|0.014   |0.62    |
|HR 5119|         |13 38 45.70|-70 26 42.0| 6.10|1.42    |5119|        |1.73    |
|HR 2536|         |06 44 56.09|-70 26 02.0| 6.11|1.33    |2536|        |1.50    |
|HR 8527|         |22 25 10.51|-70 25 54.1| 5.78|0.38    |8527|        |0.03    |
|HR 3460|The Vol  |08 39 05.21|-70 23 12.8| 5.20|0.01    |3460|0.006   |-0.03   |
|HR 8672|         |22 49 17.40|-70 20 52.1| 6.34|0.07    |8672|        |0.10    |
|HR 5293|         |14 10 30.91|-70 18 20.2| 6.05|1.74    |5293|        |1.84    |
|HR 5792|         |15 40 11.50|-70 13 40.1| 6.44|0.08    |5792|        |0.08    |
|HR 4538|         |11 49 56.59|-70 13 32.9| 4.97|1.40    |4538|0.009   |1.22    |
|HR 4645|         |12 12 46.80|-70 09 06.8| 6.17|0.84    |4645|        |0.57    |
|HR 8092|Omi Pav  |21 13 20.50|-70 07 35.0| 5.02|1.58    |8092|0.008   |1.56    |
|HR 6411|Iot Aps  |17 22 05.90|-70 07 23.9| 5.41|-0.04   |6411|        |-0.23   |
|HR 3370|         |08 27 16.90|-70 05 35.9| 5.53|-0.03   |3370|        |-0.04   |
|HR 6098|Zet TrA  |16 28 28.10|-70 05 03.8| 4.91|0.55    |6098|0.094   |0.04    |
|HR 5644|         |15 14 19.10|-70 04 45.8| 5.81|3.38    |5644|        |6.69    |
|HR 4841|         |12 45 01.70|-68 49 52.0| 6.16|0.69    |4841|        |0.38    |
|HR 8701|Rho Ind  |22 54 39.41|-70 04 25.0| 6.05|0.66    |8701|        |0.24    |
|HR 6400|         |17 20 12.79|-70 02 44.2| 6.53|0.60    |6400|        |0.15    |
|HR 4037|Ome Car  |10 13 44.21|-70 02 17.2| 3.32|-0.08   |4037|        |-0.33   |
|HR 2352|Pi 1Dor  |06 22 38.21|-69 59 03.1| 5.56|1.51    |2352|        |1.83    |
|HR 4966|         |13 11 51.60|-69 56 30.8| 5.91|0.42    |4966|        |-0.03   |
|HR 3038|         |07 44 13.01|-69 49 17.0| 6.18|-0.06   |3038|        |-0.09   |
|HR 8156|         |21 24 16.70|-69 44 03.1| 6.41|2.82    |8156|        |3.40    |
|HR 5295|         |14 11 01.90|-69 43 10.9| 6.06|0.18    |5295|        |0.15    |
|HR 3685|Bet Car  |09 13 12.00|-69 43 01.9| 1.68|0.00    |3685|0.021   |0.03    |
|HR 2377|Pi 2Dor  |06 25 28.61|-69 41 25.1| 5.38|0.97    |2377|0.007   |0.67    |
|HR 4994|         |13 15 25.70|-69 40 46.9| 6.37|1.21    |4994|        |1.33    |
