|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 4159|         |10 35 35.30|-57 33 28.1| 4.45|1.62    |4159|0.026   |1.79    |
|HR 3455|         |08 40 43.61|-57 32 43.1| 6.34|0.20    |3455|0.022   |0.14    |
|HR 6586|         |17 44 55.80|-57 32 43.1| 6.01|0.90    |6586|        |        |
|HR 3696|         |09 16 12.19|-57 32 29.0| 4.34|1.63    |3696|0.025   |1.98    |
|HR 7691|         |20 11 07.20|-57 31 26.0| 6.37|0.06    |7691|        |        |
|HR 6908|         |18 29 56.69|-57 31 23.2| 5.76|0.98    |6908|        |        |
|HR 8509|         |22 20 36.19|-57 30 36.0| 6.34|1.37    |8509|        |1.71    |
|HR 4592|         |12 01 28.99|-57 30 13.0| 6.16|0.00    |4592|        |-0.03   |
|HR 1674|Zet Dor  |05 05 30.60|-57 28 22.1| 4.72|0.52    |1674|0.085   |-0.04   |
|HR 4226|         |10 47 38.71|-57 28 04.1| 6.36|1.62    |4226|        |1.86    |
|HR 191 |Eta Phe  |00 43 21.19|-57 27 47.2| 4.36|0.00    | 191|0.046   |-0.02   |
|HR 8620|         |22 40 48.89|-57 25 19.9| 5.97|1.46    |8620|        |1.70    |
|HR 4556|         |11 54 11.50|-57 24 36.0| 6.06|0.05    |4556|        |        |
|HR 3957|         |10 01 58.01|-57 20 58.9| 6.20|1.12    |3957|        |        |
|HR 977 |         |03 12 33.19|-57 19 18.1| 5.74|2.28    | 977|        |2.83    |
|HR 3105|         |07 54 53.21|-57 18 11.2| 5.63|1.30    |3105|0.009   |1.44    |
|HR 3864|         |09 41 02.21|-57 15 34.9| 5.80|1.09    |3864|        |0.98    |
|HR 4173|         |10 38 02.50|-57 15 23.0| 5.91|-0.14   |4173|        |-0.63   |
|HR 4250|         |10 52 30.91|-57 14 26.2| 5.25|0.16    |4250|        |-0.54   |
|HR 472 |Alp Eri  |01 37 42.89|-57 14 12.1| 0.46|-0.16   | 472|0.026   |-0.66   |
|HR 3883|         |09 45 40.49|-57 11 08.2| 6.46|-0.11   |3883|        |-0.58   |
|HR 4898|Mu 1Cru  |12 54 35.59|-57 10 40.1| 4.03|-0.17   |4898|        |-0.76   |
|HR 4899|Mu 2Cru  |12 54 36.79|-57 10 05.9| 5.17|-0.12   |4899|        |-0.51   |
|HR 2072|         |05 52 20.30|-57 09 22.0| 5.94|0.66    |2072|        |        |
|HR 4763|Gam Cru  |12 31 09.89|-57 06 47.9| 1.63|1.59    |4763|        |1.78    |
|HR 1245|         |03 58 42.89|-57 06 09.0| 6.05|0.44    |1245|        |-0.01   |
|HR 5316|         |14 14 57.00|-57 05 08.9| 5.07|-0.08   |5316|        |-0.63   |
|HR 4764|Gam Cru  |12 31 16.70|-57 04 52.0| 6.42|0.16    |4764|        |        |
|HR 1405|         |04 24 12.19|-57 04 17.0| 6.29|0.66    |1405|0.042   |0.19    |
|HR 3803|         |09 31 13.30|-57 02 03.8| 3.13|1.55    |3803|0.022   |1.89    |
|HR 295 |Ome Phe  |01 02 01.80|-57 00 09.0| 6.11|0.94    | 295|        |        |
|HR 4551|         |11 52 10.10|-56 59 16.1| 5.57|0.07    |4551|        |        |
|HR 3953|         |10 00 34.39|-56 56 48.1| 6.52|0.98    |3953|        |        |
|HR 6505|         |17 31 22.99|-56 55 14.2| 5.95|-0.08   |6505|        |        |
|HR 6384|         |17 14 13.20|-56 53 17.9| 6.09|1.78    |6384|        |1.34    |
|HR 5421|         |14 32 32.90|-56 53 16.1| 6.93|0.91    |5421|        |0.60    |
|HR 7022|         |18 45 23.71|-56 52 54.1| 6.22|1.38    |7022|        |        |
|HR 2389|         |06 29 28.51|-56 51 10.1| 5.22|1.09    |2389|0.010   |        |
|HR 8901|         |23 25 19.39|-56 50 57.1| 5.59|1.07    |8901|        |0.98    |
|HR 4908|         |12 55 57.00|-56 50 10.0| 5.32|0.01    |4908|        |-0.84   |
|HR 8387|Eps Ind  |22 03 21.60|-56 47 10.0| 4.69|1.06    |8387|0.285   |0.99    |
|HR 4398|         |11 23 08.11|-56 46 45.8| 5.79|0.01    |4398|        |        |
|HR 3498|         |08 46 42.50|-56 46 10.9| 4.49|-0.17   |3498|        |-0.73   |
|HR 5151|         |13 42 56.09|-56 46 05.2| 6.00|-0.08   |5151|        |        |
|HR 4221|         |10 46 57.50|-56 45 25.9| 5.23|-0.08   |4221|        |-0.33   |
|HR 2683|         |07 04 18.29|-56 44 58.9| 5.17|-0.04   |2683|-0.015  |        |
|HR 7790|Alp Pav  |20 25 38.90|-56 44 06.0| 1.94|-0.20   |7790|        |-0.71   |
|HR 3031|         |07 45 35.59|-56 43 21.0| 6.12|0.39    |3031|        |        |
|HR 5515|         |14 49 06.89|-56 40 04.1| 6.23|1.13    |5515|        |1.06    |
|HR 3549|         |08 53 03.79|-56 38 57.8| 6.03|-0.02   |3549|        |-0.08   |
|HR 6442|         |17 23 06.89|-56 31 31.1| 5.80|1.00    |6442|        |0.77    |
|HR 4754|         |12 29 53.90|-56 31 28.9| 5.80|1.56    |4754|        |1.82    |
|HR 183 |Xi  Phe  |00 41 46.39|-56 30 06.1| 5.70|0.20    | 183|        |        |
|HR 4848|         |12 46 22.70|-56 29 20.0| 4.65|-0.16   |4848|        |-0.64   |
|HR 3056|         |07 48 19.20|-56 28 16.0| 6.33|1.01    |3056|        |0.38    |
|HR 5461|         |14 40 32.81|-56 26 26.9| 6.30|1.18    |5461|        |        |
|HR 3895|         |09 48 40.01|-56 24 42.8| 6.06|0.94    |3895|        |0.67    |
|HR 3062|         |07 49 06.70|-56 24 38.2| 5.59|1.13    |3062|        |0.84    |
|HR 4749|         |12 28 33.41|-56 24 28.1| 6.15|0.92    |4749|0.021   |0.64    |
|HR 2638|         |06 58 36.19|-56 23 40.9| 6.45|0.39    |2638|        |        |
|HR 5358|         |14 20 19.51|-56 23 12.1| 4.33|0.12    |5358|        |-0.43   |
|HR 6462|Gam Ara  |17 25 23.59|-56 22 39.0| 3.34|-0.13   |6462|        |-0.96   |
|HR 4702|         |12 21 57.50|-56 22 28.9| 5.92|1.57    |4702|        |1.64    |
|HR 2320|Nu  Pic  |06 22 55.80|-56 22 12.0| 5.61|0.24    |2320|        |0.13    |
|HR 7510|Nu  Tel  |19 48 01.20|-56 21 45.0| 5.35|0.20    |7510|        |        |
|HR 4576|         |11 58 15.19|-56 19 01.9| 5.44|-0.08   |4576|        |        |
|HR 5266|         |14 03 26.21|-56 12 49.0| 5.92|1.22    |5266|        |1.18    |
|HR 486 |         |01 39 47.40|-56 11 53.2| 5.87|0.90    | 486|0.152   |0.59    |
|HR 487 |         |01 39 47.81|-56 11 40.9| 5.76|0.87    | 487|0.152   |0.53    |
|HR 5979|         |16 07 24.00|-56 11 29.0| 6.16|0.58    |5979|        |        |
|HR 4834|         |12 43 09.10|-56 10 34.0| 6.00|-0.08   |4834|        |-0.30   |
|HR 2042|Gam Pic  |05 49 49.70|-56 10 00.1| 4.51|1.10    |2042|0.018   |0.98    |
|HR 1801|Kap Pic  |05 22 22.10|-56 08 03.8| 6.11|-0.10   |1801|        |        |
|HR 4061|         |10 18 37.61|-56 06 36.0| 5.81|0.48    |4061|        |        |
|HR 3218|         |08 09 33.60|-56 05 08.2| 5.66|0.21    |3218|        |        |
|HR 4074|         |10 20 54.79|-56 02 35.2| 4.50|-0.12   |4074|0.008   |-0.58   |
|HR 6819|         |18 17 07.49|-56 01 23.9| 5.33|-0.05   |6819|        |-0.69   |
|HR 6285|Zet Ara  |16 58 37.20|-55 59 25.1| 3.13|1.60    |6285|0.044   |1.97    |
|HR 4832|         |12 42 49.61|-55 56 49.9| 6.08|-0.03   |4832|        |-0.19   |
|HR 688 |         |02 19 54.29|-55 56 40.9| 5.81|1.55    | 688|        |1.95    |
|HR 2941|         |07 36 01.70|-55 53 15.0| 6.39|1.18    |2941|        |        |
|HR 8381|         |22 00 24.10|-55 52 58.1| 6.01|-0.10   |8381|        |-0.12   |
|HR 3629|         |09 06 34.01|-55 48 11.9| 6.11|-0.15   |3629|        |-0.67   |
|HR 5027|         |13 20 48.29|-55 48 02.2| 6.02|0.29    |5027|        |-0.69   |
|HR 3471|         |08 42 20.90|-55 46 27.1| 6.29|1.18    |3471|        |1.20    |
|HR 8271|         |21 40 33.60|-55 44 15.0| 6.33|1.06    |8271|        |        |
|HR 2634|         |06 58 39.60|-55 43 45.8| 6.27|1.16    |2634|        |1.16    |
|HR 7233|         |19 08 52.10|-55 43 13.1| 6.49|1.10    |7233|        |        |
|HR 4180|         |10 39 18.41|-55 36 11.9| 4.28|1.04    |4180|0.023   |0.75    |
|HR 5488|         |14 45 10.90|-55 36 06.8| 6.10|-0.06   |5488|        |-0.80   |
|HR 3679|         |09 14 18.00|-55 34 10.9| 5.27|0.99    |3679|0.015   |        |
|HR 6019|Zet Nor  |16 13 22.61|-55 32 26.9| 5.81|0.34    |6019|        |        |
|HR 2526|         |06 47 18.70|-55 32 24.0| 5.61|1.52    |2526|        |        |
|HR 6461|Bet Ara  |17 25 18.00|-55 31 48.0| 2.85|1.46    |6461|0.034   |1.56    |
|HR 3732|         |09 21 49.99|-55 30 54.0| 5.63|0.19    |3732|        |0.11    |
|HR 3161|         |08 01 31.49|-55 27 18.0| 6.28|-0.15   |3161|        |-0.62   |
|HR 7388|         |19 29 52.61|-55 26 29.0| 6.13|0.98    |7388|        |0.81    |
|HR 6614|         |17 48 38.11|-55 24 06.1| 6.11|0.28    |6614|        |        |
|HR 3920|         |09 53 00.00|-55 22 23.9| 6.48|-0.14   |3920|        |-0.86   |
|HR 5637|         |15 11 16.01|-55 20 46.0| 5.54|1.14    |5637|        |0.73    |
|HR 338 |Zet Phe  |01 08 23.11|-55 14 44.9| 3.92|-0.08   | 338|0.013   |-0.41   |
|HR 3868|         |09 41 47.81|-55 12 51.1| 6.00|-0.13   |3868|        |-0.58   |
|HR 3368|         |08 29 36.31|-55 11 28.0| 6.36|0.80    |3368|        |        |
|HR 3717|         |09 19 32.59|-55 11 12.1| 6.28|-0.10   |3717|        |-0.57   |
|HR 6487|         |17 28 38.71|-55 10 10.9| 5.94|1.11    |6487|        |        |
|HR 4682|         |12 18 59.69|-55 08 35.2| 5.00|1.59    |4682|0.010   |1.95    |
|HR 6073|         |16 20 25.20|-55 08 24.0| 5.77|0.97    |6073|        |        |
|HR 7393|Mu  Tel  |19 30 34.49|-55 06 36.0| 6.30|0.45    |7393|        |        |
|HR 5873|         |15 51 06.79|-55 03 20.9| 5.73|0.06    |5873|        |-0.70   |
|HR 7758|         |20 20 32.30|-55 03 02.9| 6.27|1.59    |7758|        |2.01    |
|HR 1465|Alp Dor  |04 33 59.81|-55 02 42.0| 3.27|-0.10   |1465|0.018   |-0.35   |
|HR 4063|         |10 19 36.79|-55 01 45.8| 4.57|1.62    |4063|-0.008  |1.82    |
|HR 7674|         |20 07 35.09|-55 00 59.0| 6.26|0.53    |7674|        |        |
|HR 3349|         |08 27 27.41|-55 00 42.1| 6.53|-0.02   |3349|        |        |
|HR 3734|Kap Vel  |09 22 06.79|-55 00 38.9| 2.50|-0.18   |3734|0.013   |-0.75   |
|HR 5426|         |14 33 32.40|-54 59 53.9| 5.87|0.48    |5426|        |        |
|HR 8368|Del Ind  |21 57 55.10|-54 59 33.0| 4.40|0.28    |8368|0.020   |0.10    |
|HR 7549|         |19 52 39.00|-54 58 36.1| 6.50|0.10    |7549|        |0.12    |
|HR 4038|         |10 15 16.61|-54 58 27.1| 6.16|-0.17   |4038|        |-0.76   |
|HR 7548|         |19 52 37.61|-54 58 16.0| 5.74|0.92    |7548|        |0.65    |
|HR 2212|Del Pic  |06 10 17.90|-54 58 07.0| 4.81|-0.23   |2212|        |-1.03   |
|HR 3570|         |08 55 11.90|-54 57 56.2| 5.71|0.48    |3570|        |0.00    |
|HR 4885|         |12 53 03.91|-54 57 09.0| 5.93|1.31    |4885|        |1.40    |
|HR 1912|         |05 33 44.40|-54 54 07.9| 6.43|0.55    |1912|        |        |
|HR 4107|         |10 26 49.01|-54 52 39.0| 5.58|1.56    |4107|        |        |
|HR 148 |         |00 35 33.41|-54 49 18.8| 6.06|1.01    | 148|        |        |
|HR 8055|Mu  Ind  |21 05 14.21|-54 43 37.9| 5.16|1.21    |8055|0.023   |1.22    |
|HR 3485|Del Vel  |08 44 42.19|-54 42 29.9| 1.96|0.04    |3485|0.051   |0.07    |
|HR 5236|         |13 56 33.00|-54 42 15.8| 6.00|0.78    |5236|        |        |
|HR 2524|         |06 46 41.50|-54 41 40.9| 6.46|0.86    |2524|0.004   |        |
|HR 5278|         |14 05 46.51|-54 40 09.8| 6.17|0.23    |5278|        |        |
|HR 8188|Gam Ind  |21 26 15.41|-54 39 38.2| 6.12|0.34    |8188|        |0.04    |
|HR 6024|Kap Nor  |16 13 28.70|-54 37 50.2| 4.94|1.04    |6024|0.022   |0.78    |
|HR 5311|         |14 13 39.89|-54 37 32.9| 6.11|0.05    |5311|        |-0.38   |
|HR 6297|         |17 00 06.19|-54 35 48.8| 5.65|0.19    |6297|        |0.10    |
|HR 5946|         |16 01 06.41|-54 34 40.1| 6.13|0.25    |5946|        |        |
|HR 3940|Phi Vel  |09 56 51.79|-54 34 04.1| 3.54|-0.08   |3940|        |-0.62   |
|HR 5141|         |13 41 44.69|-54 33 36.0| 5.01|-0.05   |5141|0.003   |-0.23   |
|HR 802 |Zet Hor  |02 40 39.60|-54 33 00.0| 5.21|0.40    | 802|0.031   |-0.01   |
|HR 3157|         |08 01 22.90|-54 30 54.0| 6.10|-0.04   |3157|        |-0.65   |
|HR 6549|Pi  Ara  |17 38 05.59|-54 30 01.1| 5.25|0.20    |6549|0.057   |0.08    |
|HR 3700|         |09 17 42.31|-54 29 43.1| 6.33|1.41    |3700|        |        |
|HR 4390|Pi  Cen  |11 21 00.41|-54 29 28.0| 3.89|-0.15   |4390|0.011   |-0.59   |
|HR 7329|Eta Tel  |19 22 51.10|-54 25 25.0| 5.05|0.02    |7329|0.020   |        |
|HR 7459|         |19 40 18.31|-54 25 03.0| 6.26|1.00    |7459|        |        |
|HR 1667|         |05 05 00.60|-54 24 27.0| 6.27|1.54    |1667|        |1.90    |
|HR 2892|         |07 30 30.91|-54 23 57.8| 5.96|1.56    |2892|        |1.96    |
|HR 162 |         |00 37 18.10|-54 23 39.1| 6.41|1.00    | 162|        |        |
|HR 3382|         |08 31 29.59|-54 23 39.1| 6.34|1.31    |3382|        |1.40    |
|HR 3088|         |07 52 29.69|-54 22 01.9| 5.70|-0.15   |3088|        |-0.89   |
|HR 2023|         |05 47 13.01|-54 21 38.9| 6.18|1.40    |2023|        |        |
|HR 7370|         |19 27 48.10|-54 19 31.1| 5.69|1.40    |7370|        |1.68    |
|HR 1168|         |03 44 33.79|-54 16 26.0| 6.30|1.04    |1168|        |0.89    |
|HR 4460|         |11 34 45.70|-54 15 51.1| 4.62|-0.08   |4460|        |-0.21   |
|HR 3156|         |08 00 49.90|-54 09 05.0| 5.87|-0.14   |3156|        |-0.52   |
|HR 5234|         |13 56 19.80|-54 07 54.8| 6.14|0.07    |5234|0.012   |0.03    |
|HR 2587|         |06 52 46.90|-54 05 24.0| 6.57|1.08    |2587|        |        |
|HR 5937|         |15 59 54.00|-54 01 16.0| 6.10|0.00    |5937|        |-0.48   |
|HR 23  |         |00 09 02.40|-54 00 06.8| 6.33|0.74    |  23|0.009   |0.39    |
|HR 4497|         |11 40 42.60|-53 58 07.0| 5.96|1.66    |4497|        |2.02    |
|HR 8774|Kap Gru  |23 04 39.60|-53 57 54.0| 5.37|1.45    |8774|0.012   |1.75    |
|HR 3875|         |09 43 42.19|-53 53 30.1| 5.56|-0.04   |3875|        |-0.08   |
